startdate,enddate,status,ipaddress,progress,duration_in_seconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,consent,q26_browser,q26_version,q26_operating_system,q26_resolution,qid54_first_click,qid54_last_click,qid54_page_submit,qid54_click_count,real_imaginary,initials_box,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_do_1,feelings_do_2,feelings_do_3,feelings_do_4,feelings_do_5,feelings_do_6,feelings_exp,outcome_binary1,outcome_binary1_do_1,outcome_binary1_do_2,outcome_binary2,outcome_binary2_do_1,outcome_binary2_do_2,blame_1,attention_1,attention_1_text,attention_2,attention_2_text,attention_3,attention_3_text,target_sex,target_sex_3_text,sex,sex_3_text,age,comments,maincontrol,passedattn,lottery_draw,winner,initials,respondent_id,duration_sec,passedattn_raw,attention_text_raw,attention_text_std,attention_pass_rebuilt,attention_pass_supplied,attention_match,attention_pass,flag_unfinished,flag_attention_fail,flag_missing_main,flag_age_implausible,flag_clickthrough_comment,include_primary,include_strict,self_blame_c,mutual_order_pref,mutual_avg,unilateral_avg,scenario_type,real_conflict,binary1_choice,binary2_choice
2021-01-27T12:12:48Z,2021-01-27T12:17:19Z,IP Address,75.3.232.204,100,271,TRUE,2021-01-27T12:17:20Z,R_2TAhz04fPgBTknX,NA,NA,NA,NA,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1280x720,5.087,29.23,38.276,2,I have thought of a real argument/conflict from my life where this is true,AG,Debate of FS reporting approach,-20,21,30,20,-30,-30,4,2,1,3,5,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,36,NA,NA,NA,NA,NA,banana,Female,NA,Female,NA,32,NA,showConsentOn showAttnOn,yes,24,0,AG,R_2TAhz04fPgBTknX,271,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-14,-1,20.5,5,real,1,self_first_mutual,self_only
2021-01-27T12:12:47Z,2021-01-27T12:17:21Z,IP Address,116.68.200.230,100,273,TRUE,2021-01-27T12:17:22Z,R_12otYqdSDsG4eL6,NA,NA,NA,NA,23.7460021972656,90.3819885253906,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,37.132,37.132,38.366,1,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),STX,"Not meeting deadlines, always showing up late, not participating, etc.",-30,0,10,30,-15,-30,3,5,4,1,2,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,15,NA,NA,NA,NA,NA,banana,Female,NA,Female,NA,20,NA,showConsentOn showAttnOn,yes,5,0,STX,R_12otYqdSDsG4eL6,273,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-35,30,15,-10,imagined,0,self_first_mutual,neither
2021-01-27T12:12:36Z,2021-01-27T12:17:22Z,IP Address,24.118.47.227,100,285,TRUE,2021-01-27T12:17:22Z,R_10DwSyWiQFkUfmC,NA,NA,NA,NA,45.0139007568359,-93.1545028686523,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1536x864,28.961,28.961,31.066,1,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),JK,JK and I had a conflict on what need to done for a certain project,-9,21,-20,22,-9,-19,3,2,1,4,5,6,NA,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,40,4,NA,3,NA,5,banana,Male,NA,Female,NA,27,NA,showConsentOn showAttnOn,yes,20,0,JK,R_10DwSyWiQFkUfmC,285,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-10,1,21.5,-14.5,imagined,0,neither,neither
2021-01-27T12:12:43Z,2021-01-27T12:17:25Z,IP Address,71.89.52.164,100,281,TRUE,2021-01-27T12:17:25Z,R_OKg5nrDTv3nxWy5,NA,NA,NA,NA,44.9656066894531,-89.7065963745117,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,22.941,38.06,43.983,6,I have thought of a real argument/conflict from my life where this is true,STX,"I send information that STX is supposed to verify. STX is supposed to let me know if I made any errors within a certain timeframe. I made an error in the information and STX did not tell me about this error like they were supposed to. So, it was my fault for the initial error but also STX's fault for not verifying like they were supposed to.",-30,-9,-24,30,-24,0,1,2,5,3,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,39,NA,NA,NA,NA,NA,banana,Male,NA,Female,NA,25,NA,showConsentOn showAttnOn,yes,1,1,STX,R_OKg5nrDTv3nxWy5,281,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-11,39,10.5,-27,real,1,self_first_mutual,self_only
2021-01-27T12:12:35Z,2021-01-27T12:17:31Z,IP Address,128.135.215.145,100,296,TRUE,2021-01-27T12:17:32Z,R_77KaqUoB8OLZETT,NA,NA,NA,NA,41.9555053710937,-87.6613006591796,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,14.649,14.649,15.624,1,I have thought of a real argument/conflict from my life where this is true,JP,My team missed a deadline with an important stakeholder because of an unclear expectation.,-10,20,-10,20,-5,-30,5,4,3,1,2,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,NA,NA,NA,NA,NA,Banana,Female,NA,Female,NA,48,NA,showConsentOn showAttnOn,yes,3,0,JP,R_77KaqUoB8OLZETT,296,yes,Banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,20,-10,real,1,self_first_mutual,self_only
2021-01-27T12:12:48Z,2021-01-27T12:17:37Z,IP Address,24.148.80.107,100,288,TRUE,2021-01-27T12:17:37Z,R_BzjjEa5gf8TqZtn,NA,NA,NA,NA,41.990493774414,-87.6679000854492,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,24.092,27.605,29.654,3,I have thought of a real argument/conflict from my life where this is true,SP,"I posted a tweet on the official organization account at a clean energy nonprofit advocating for fighting climate change. My supervisor found it to be too polarizing and removed the tweet, then we had a heated conversation about the incident.",-25,8,20,15,-10,5,4,3,5,2,1,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,30,NA,NA,NA,NA,NA,banana,Female,NA,Male,NA,33,NA,showConsentOn showAttnOn,yes,45,0,SP,R_BzjjEa5gf8TqZtn,288,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-20,7,11.5,-2.5,real,1,self_first_mutual,neither
2021-01-27T12:12:48Z,2021-01-27T12:17:44Z,IP Address,73.162.188.129,100,296,TRUE,2021-01-27T12:17:44Z,R_273xTAn2WljgUWL,NA,NA,NA,NA,37.3526000976562,-121.9541015625,anonymous,EN,AGREE,Firefox,84,Windows NT 10.0,1536x864,2.019,45.737,46.452,16,I have thought of a real argument/conflict from my life where this is true,STX,Disagreement on external relationship management,-20,8,-5,13,4,6,1,5,3,4,2,6,NA,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,26,NA,NA,NA,NA,NA,banana,Male,NA,Female,NA,28,NA,showConsentOn showAttnOn,yes,30,0,STX,R_273xTAn2WljgUWL,296,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-24,5,10.5,-12.5,real,1,neither,neither
2021-01-27T12:12:45Z,2021-01-27T12:17:46Z,IP Address,50.237.5.2,100,300,TRUE,2021-01-27T12:17:46Z,R_1JIQqdbwA1pNry2,NA,NA,NA,NA,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1280x720,7.364,33.927,36.835,3,I have thought of a real argument/conflict from my life where this is true,DC,"Work conflict -- he was my direct supervisor and always made unreasonable asks of the team and treated people poorly (e.g. yelling at them). There was one incident in particular where I had not thought critically enough about a workstream that I was on, and he blew up at me.",-30,12,-8,22,-20,-30,1,3,5,2,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,30,NA,NA,NA,NA,NA,banana,Male,NA,Female,NA,25,NA,showConsentOn showAttnOn,yes,10,0,DC,R_1JIQqdbwA1pNry2,300,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-20,10,17,-19,real,1,self_first_mutual,neither
2021-01-27T12:12:37Z,2021-01-27T12:17:52Z,IP Address,73.110.216.130,100,314,TRUE,2021-01-27T12:17:52Z,R_SOgj4BCERGRfTnH,NA,NA,NA,NA,41.9703979492187,-87.7035980224609,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1920x1080,52.147,52.147,53.813,1,I have thought of a real argument/conflict from my life where this is true,RA,Deciding on the number of workforce to allocate on a project,-8,10,-10,8,0,-8,4,5,1,2,3,6,NA,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,42,NA,NA,NA,NA,NA,banana,Male,NA,Male,NA,34,NA,showConsentOn showAttnOn,yes,9,0,RA,R_SOgj4BCERGRfTnH,314,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-8,-2,9,-9,real,1,neither,neither
2021-01-27T12:13:34Z,2021-01-27T12:17:57Z,IP Address,24.15.204.115,100,262,TRUE,2021-01-27T12:17:58Z,R_3EZulh7dYfh7e5v,NA,NA,NA,NA,41.8972015380859,-87.6195983886718,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,0.149,33.742,38.075,2,I have thought of a real argument/conflict from my life where this is true,wx,arguing with the ex-girl friend on some non-sense issues,-20,10,-10,20,-30,-20,1,2,5,4,3,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,40,5,NA,3,NA,5,banana,Female,NA,Male,NA,29,NA,showConsentOn showAttnOn,yes,15,0,wx,R_3EZulh7dYfh7e5v,262,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-10,10,15,-15,real,1,self_first_mutual,self_only
2021-01-27T12:12:46Z,2021-01-27T12:17:56Z,IP Address,73.51.84.108,100,309,TRUE,2021-01-27T12:17:58Z,R_ZES96x08QlcbdHb,NA,NA,NA,NA,41.9024963378906,-87.6725997924804,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,24.097,24.097,27.875,1,I have thought of a real argument/conflict from my life where this is true,ml,Disagreement about who would take responsibility for training and developing a new hire,-30,-30,8,3,-10,-30,1,4,3,2,5,6,"While I did contribute to the situation, I felt that it wasn't my responsibility to have taken on (as a peer to the new person) and it should have been the managers responsibility (who hired). Leading up to the hiring, it was said the manager would be leading the new hire, but then subsequently did not take accountability.","I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,31,NA,NA,NA,NA,NA,banana,Female,NA,Female,NA,29,NA,showConsentOn showAttnOn,yes,41,0,ml,R_ZES96x08QlcbdHb,309,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-19,33,-13.5,-11,real,1,self_first_mutual,neither
2021-01-27T12:12:51Z,2021-01-27T12:18:01Z,IP Address,50.237.5.2,100,310,TRUE,2021-01-27T12:18:01Z,R_a3kWV0bdhtavauZ,NA,NA,NA,NA,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1504x1003,22.028,38.193,39.067,5,I have thought of a real argument/conflict from my life where this is true,MD,"I was managing someone who was older and more educated than me (they were in their 40s and had a PhD, and I was in my 20's and did not). They were being generally very hostile in the workplace (towards many people), and they were letting small frustrations lead to strong, negative emotional reactions. While their negative emotional state was partly due to external factors, they were also frustrated by what they saw was me not being qualified to be managing them or telling them what to do.",-30,20,-15,25,-20,-20,1,4,5,2,3,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,35,NA,NA,NA,NA,NA,banana,Female,NA,Male,NA,29,NA,showConsentOn showAttnOn,yes,22,0,MD,R_a3kWV0bdhtavauZ,310,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-15,5,22.5,-22.5,real,1,self_first_mutual,neither
2021-01-27T12:12:38Z,2021-01-27T12:18:01Z,IP Address,82.17.53.232,100,323,TRUE,2021-01-27T12:18:02Z,R_Wed63N1m4iQgk6J,NA,NA,NA,NA,50.7241058349609,-1.78909301757812,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,32.2,32.2,34.478,1,I have thought of a real argument/conflict from my life where this is true,GL,I applied for an internal job without telling my manager because he made life difficult for a previous subordinate who did the same. I was told the process was confidential so decided not to tell him unless I got past the first stage of the application. He was told/found out and was angry.,-10,10,-10,1,-21,-5,2,4,5,3,1,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,50,NA,NA,NA,NA,NA,banana,Male,NA,Female,NA,32,NA,showConsentOn showAttnOn,yes,1,1,GL,R_Wed63N1m4iQgk6J,323,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,-9,5.5,-10,real,1,self_first_mutual,self_only
2021-01-27T12:12:38Z,2021-01-27T12:18:09Z,IP Address,108.12.231.18,100,331,TRUE,2021-01-27T12:18:10Z,R_32L94V1ABVjNneH,NA,NA,NA,NA,41.8307037353515,-71.3982009887695,anonymous,EN,AGREE,Safari,13.1.2,Macintosh,1440x900,20.065,20.065,21.052,1,I have thought of a real argument/conflict from my life where this is true,MG,"She changed the direction of my research without discussing with me, without even realizing that she has changed it and that I have done work in the original direction.",-30,-24,30,15,-19,-24,4,5,3,1,2,6,NA,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,9,NA,NA,NA,NA,NA,banana,Female,NA,Female,NA,25,NA,showConsentOn showAttnOn,yes,38,0,MG,R_32L94V1ABVjNneH,331,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-41,39,-4.5,0,real,1,neither,neither
2021-01-27T12:13:06Z,2021-01-27T12:18:19Z,IP Address,172.114.141.25,100,312,TRUE,2021-01-27T12:18:20Z,R_1FnUWdIjDGzgQDj,NA,NA,NA,NA,33.889892578125,-118.400802612304,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,2560x1440,36.187,36.187,37.349,1,I have thought of a real argument/conflict from my life where this is true,STX,Miscommunication about having to attend (vs. not attend) a workplace outing.,-30,25,-30,30,-25,-30,4,1,2,3,5,6,"As long as we both apologize, it's great (and a few points slightly better if they apologize first, for selfish reasons).  It's worse if merely one party apologies than if neither party apologies. I have no idea why I feel that way, but it's interesting!","I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,10,NA,NA,NA,NA,NA,banana,Male,NA,Male,NA,34,NA,showConsentOn showAttnOn,yes,12,0,STX,R_1FnUWdIjDGzgQDj,312,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-40,5,27.5,-30,real,1,self_first_mutual,neither
